transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_region,customer_risk_level,bank_id,bank_name,bank_region,bank_compliance_score,amount,currency,transaction_date,transaction_location,is_high_risk,is_valid_bank_id
1,734,"Marcia Cox",vegascott@gmail.com,859.806.6345x563,West,Low,20,"Bank 20",West,0.71,2059.49,USD,2024-07-01,Helentown,1,1
2,962,"Vanessa Mckenzie",preynolds@carlson.com,764.455.7458x7794,South,Medium,234,"Bank 234",North,0.75,4228.66,USD,2024-07-22,"West Jasonberg",1,1
3,143,"Mark Taylor",kelly85@weber.net,7073159635,East,Medium,598,"Bank 598",South,0.57,9223.78,USD,2024-04-27,Brendanberg,1,1
4,760,"Kevin Poole",joshuaevans@pitts.com,706-152-3334x773,West,Low,34,"Bank 34",North,0.64,3063.09,USD,2024-05-31,"Lake Davidville",0,1
5,175,"Anthony Gonzales",alvarezcheryl@bailey.com,897.398.0669x289,South,Low,562,"Bank 562",East,0.81,587.11,USD,2024-09-01,"East Katherine",0,1
6,252,"Sarah Odom",zandrews@hotmail.com,+1-209-288-6101x1602,West,Medium,740,"Bank 740",North,0.82,6815.88,USD,2024-04-15,Valerieton,1,1
7,743,"Rachel Johnson",alyssaking@austin-long.biz,001-513-459-0135x9778,South,Medium,95,"Bank 95",East,0.62,5402.65,USD,2024-03-12,"North Taylorton",0,1
8,884,"Jason Moore",alyssa09@gomez.com,985-015-6256x237,West,Low,779,"Bank 779",South,0.75,878.54,USD,2024-10-12,Williamsview,0,1
9,54,"Roger Allison",ashleyjohnson@dawson.org,001-367-569-8243x395,South,High,268,"Bank 268",South,0.65,6794.40,USD,2024-08-04,Smithbury,0,1
10,715,"Melissa Murray",jenniferroberts@gmail.com,+1-086-269-9513x512,West,Low,1002,"Bank 1002",West,0.79,1055.99,USD,2024-03-28,Paulchester,1,1
11,339,"James Hunter",jacksoneric@hotmail.com,001-511-729-3448x1029,North,Medium,902,"Bank 902",West,0.76,6276.00,USD,2024-08-29,Freemanview,0,1
12,710,"Dr. Jason Ortega",melendezjanet@yahoo.com,341.362.5690x9464,South,High,567,"Bank 567",East,0.98,610.86,USD,2024-03-21,Hannatown,0,1
13,346,"John Stephens",markfreeman@hotmail.com,695.796.9525x8364,West,High,898,"Bank 898",North,0.72,3929.07,USD,2024-02-06,Joshuamouth,0,1
14,315,"James Garrett",perezkevin@brown-nelson.com,(403)793-9962x42141,East,Low,510,"Bank 510",West,0.67,8734.12,USD,2024-04-17,"East Dianatown",1,1
15,835,"Thomas Holland",ellisjames@wilson.com,694-274-8450x825,East,Low,482,"Bank 482",South,0.71,7263.75,USD,2024-02-04,Amychester,1,1
16,659,"James Juarez",hendersonstephen@herrera.info,(593)371-9942,South,Low,673,"Bank 673",West,0.54,6688.20,USD,2024-08-24,Jenniferton,0,1
17,687,"Anna Patterson",sarah51@yahoo.com,001-847-198-6323x0929,East,High,759,"Bank 759",North,0.58,9417.45,USD,2024-04-28,"South Angelastad",1,1
18,47,"Sarah Lewis",tiffanycook@hotmail.com,+1-482-369-7721x52330,East,High,934,"Bank 934",East,0.58,3910.84,USD,2023-12-26,"South Ashley",0,1
