customer_id,avg_transaction_amount,month_year,transaction_frequency,high_risk_transactions,risk_score,risk_level,customer_name,customer_email,customer_phone
1,5185.75,2024-02,1,0.0,0.2,Low,Anthony Smith,pcarter@hotmail.com,243.751.6176x2665
2,6503.46,2024-07,1,1.0,1.0,Low,Brenda Johnson,brian45@gmail.com,+1-039-539-9788x62818
2,6503.46,2024-07,1,1.0,1.0,Low,Brenda Johnson,brian45@gmail.com,+1-039-539-9788x62818
2,6503.46,2024-10,1,1.0,1.0,Low,Brenda Johnson,brian45@gmail.com,+1-039-539-9788x62818
2,6503.46,2024-10,1,1.0,1.0,Low,Brenda Johnson,brian45@gmail.com,+1-039-539-9788x62818
3,3151.21,2023-12,1,1.0,1.0,Low,Edwin Soto,thomas69@hotmail.com,908.612.6847
4,4092.14,2024-01,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-01,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-01,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-01,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-07,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-07,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-07,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-07,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-08,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-08,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-08,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-08,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-11,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-11,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-11,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
4,4092.14,2024-11,1,0.0,0.2,Low,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926
7,4133.14,2024-06,1,1.0,1.0,Low,Chris Wong,fwalters@obrien.org,(353)014-2784x894
8,6583.51,2024-11,1,0.0,0.2,Low,Patrick Spencer,hannah10@yahoo.com,5924666956
9,4593.856666666667,2024-07,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-07,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-07,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-08,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-08,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-08,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-11,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-11,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
9,4593.856666666667,2024-11,1,2.0,1.8,Medium,James Lopez,bethroberts@rojas.biz,011.287.5137x958
10,2462.2433333333333,2024-08,2,1.0,1.2000000000000002,Medium,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
10,2462.2433333333333,2024-08,2,1.0,1.2000000000000002,Medium,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
10,2462.2433333333333,2024-08,2,1.0,1.2000000000000002,Medium,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
10,2462.2433333333333,2024-09,1,1.0,1.0,Low,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
10,2462.2433333333333,2024-09,1,1.0,1.0,Low,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
10,2462.2433333333333,2024-09,1,1.0,1.0,Low,Jared Harmon,ravila@hotmail.com,133.487.1656x55795
11,5631.9,2024-10,1,0.0,0.2,Low,Christopher Palmer,kendra27@walker-knight.org,001-730-710-7452x072
13,5864.76,2023-12,1,1.0,1.0,Low,Sarah Harper,michaelsmith@gmail.com,999.595.0833x62937
13,5864.76,2023-12,1,1.0,1.0,Low,Sarah Harper,michaelsmith@gmail.com,999.595.0833x62937
13,5864.76,2024-05,1,1.0,1.0,Low,Sarah Harper,michaelsmith@gmail.com,999.595.0833x62937
13,5864.76,2024-05,1,1.0,1.0,Low,Sarah Harper,michaelsmith@gmail.com,999.595.0833x62937
14,8724.29,2023-11,1,1.0,1.0,Low,April Brown,miguel56@hotmail.com,+1-264-420-9754x046
15,4809.83,2024-09,1,1.0,1.0,Low,Johnny Wilson,taylorrichards@miller-clay.com,+1-638-526-7576x5824
18,7750.07,2024-07,1,1.0,1.0,Low,Frank Myers,wramirez@page-white.com,+1-996-635-8485x87793
19,2430.96,2023-12,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2023-12,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2023-12,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-02,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-02,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-02,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-05,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-05,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
19,2430.96,2024-05,1,2.0,1.8,Medium,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154
21,6150.3,2024-05,1,0.0,0.2,Low,Michelle Hart,meredithjackson@clark.biz,837.992.4785
21,6150.3,2024-05,1,0.0,0.2,Low,Michelle Hart,meredithjackson@clark.biz,837.992.4785
21,6150.3,2024-09,1,0.0,0.2,Low,Michelle Hart,meredithjackson@clark.biz,837.992.4785
21,6150.3,2024-09,1,0.0,0.2,Low,Michelle Hart,meredithjackson@clark.biz,837.992.4785
23,5772.74,2024-08,1,0.0,0.2,Low,Stephanie Cummings,boydjackie@parker.com,(927)491-6588x5214
