customer_id,name,email,phone,region,risk_level
1,Anthony Smith,pcarter@hotmail.com,243.751.6176x2665,West,Medium
2,Brenda Johnson,brian45@gmail.com,+1-039-539-9788x62818,South,Low
3,Edwin Soto,thomas69@hotmail.com,908.612.6847,North,High
4,James Campbell,virginiamorgan@gmail.com,161-783-7589x5926,South,Low
5,Richard Cohen,brandonphillips@brown.com,775-727-1658x64027,North,Medium
6,Ryan Henry,hodgesanthony@baker-riley.com,(116)629-1154,North,Medium
7,Chris Wong,fwalters@obrien.org,(353)014-2784x894,East,Low
8,Patrick Spencer,hannah10@yahoo.com,5924666956,East,Low
9,James Lopez,bethroberts@rojas.biz,011.287.5137x958,East,Medium
10,Jared Harmon,ravila@hotmail.com,133.487.1656x55795,North,High
11,Christopher Palmer,kendra27@walker-knight.org,001-730-710-7452x072,East,Low
12,Alejandra Turner,erica95@gmail.com,1494386643,West,Low
13,Sarah Harper,michaelsmith@gmail.com,999.595.0833x62937,East,Low
14,April Brown,miguel56@hotmail.com,+1-264-420-9754x046,South,Low
15,Johnny Wilson,taylorrichards@miller-clay.com,+1-638-526-7576x5824,South,Low
16,Jason Lee,matthew31@patel-freeman.net,(912)920-7085x8237,North,Low
17,Deborah Gilbert,phillipstaylor@gmail.com,764.143.3682x845,North,Low
18,Frank Myers,wramirez@page-white.com,+1-996-635-8485x87793,West,Medium
19,Rebekah Alexander,raven28@holmes-reyes.com,859-332-7429x154,West,Low
20,Amanda Franklin,maria17@gmail.com,(288)013-4040,West,Medium
21,Michelle Hart,meredithjackson@clark.biz,837.992.4785,West,Medium
22,Lucas Lynch,craigmcdonald@allen.com,633.058.7065x42842,East,Low
23,Stephanie Cummings,boydjackie@parker.com,(927)491-6588x5214,South,Low
24,Carolyn Gilmore,andersonkelsey@gmail.com,(940)134-4137x57943,West,Low
25,Laura Smith,bmills@king-bruce.info,330.141.2897x775,South,Low
26,James Rivera,nelsonjose@hotmail.com,006-700-9518,North,High
27,Linda Chavez,vyoung@yahoo.com,001-694-406-5074x864,West,Medium
28,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471,West,Low
29,Becky Hughes DVM,stephaniewells@moon.com,(921)109-3784,South,High
30,Rebekah Rivers,johnsondean@yahoo.com,898.931.0412x186,East,Medium
31,Scott Smith,melissacrawford@pierce-goodman.com,427.712.5672,West,Low
32,Thomas Gutierrez,scottcarr@tran.info,+1-128-271-9547x42734,East,Low
33,Tammy Lopez,donnapotter@gmail.com,(974)811-5648,North,Medium
34,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861,South,High
35,Jenny Obrien,hcabrera@roberts-cortez.com,669.201.2473x043,South,Low
36,Shannon Arnold,margaret53@gmail.com,(163)439-2231,West,Medium
37,Jonathan Collins,bryanmichael@allen.net,480.435.0184x3398,East,High
38,James Hubbard,millermelissa@gmail.com,790.353.1970,North,Medium
39,Charles Barnes,kellykent@horne-marshall.com,080.534.1051,South,Low
40,Amber Anderson,swansonsteven@stephens.com,001-637-376-3959x6216,East,Low
41,Tyler Gray,hroy@hotmail.com,603-317-9617x5047,West,High
42,Tyler Ferguson,henryschmidt@murray.com,784.916.1627,West,Low
43,Dana Delgado,oharrison@harper.com,364-132-2261x02923,North,Low
44,Melanie Rose,nmcgee@jones.com,697-486-6117,South,Low
45,Nicholas Mccarthy,lanceschmidt@yahoo.com,266.834.4084,West,High
46,Jennifer Saunders,michaelalvarez@hotmail.com,584-635-6115x14261,South,Medium
47,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330,East,High
48,Nicole Bowers,bpratt@williams.com,+1-809-620-6411x3966,East,High
49,John Wells,leejennifer@cortez.org,(905)755-5470,East,Low
50,Michelle Gallagher,stephanieleonard@hotmail.com,+1-258-517-5634x3192,South,Medium
51,Michael Rice,bartonjoe@hotmail.com,+1-119-515-5327,North,Medium
52,Briana Johnson,gainesdiane@yahoo.com,201.730.4381x00326,East,Low
53,Brandon Maynard,carrilloamy@obrien.biz,+1-646-674-2040x52135,East,Medium
54,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395,South,High
55,Kristina Myers,mcdowelljoshua@boyd.com,518-975-3515x65862,South,High
56,Joseph Vincent,xjohnson@alvarez.info,0602013700,South,Low
57,Dr. Natalie Hernandez,wpatterson@adams-davis.com,739.545.9593x2502,East,Low
58,Jennifer Bell,allenmelissa@yahoo.com,990.509.5195x613,West,Low
59,Rachel Avila,jenniferward@jackson-lewis.biz,939-519-7695,West,High
60,Heather Parrish,thomas84@schroeder.biz,+1-342-386-3304x1535,West,Low
