transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_region,customer_risk_level,bank_id,bank_name,bank_region,bank_compliance_score,amount,currency,transaction_date,transaction_location,is_high_risk,is_valid_bank_id,z_score,transaction_count,avg_transaction_amount,max_transaction_amount,min_transaction_amount,high_risk_flag
1,734,Marcia Cox,vegascott@gmail.com,859.806.6345x563,West,Low,20,Bank 20,West,0.71,2059.49,USD,2024-07-01,Helentown,True,True,-1.0142363933654057,3,1510.9499999999998,2355.94,117.42,False
2,962,Vanessa Mckenzie,preynolds@carlson.com,764.455.7458x7794,South,Medium,234,Bank 234,North,0.75,4228.66,USD,2024-07-22,West Jasonberg,True,True,-0.24981220242612118,1,4228.66,4228.66,4228.66,False
3,143,Mark Taylor,kelly85@weber.net,7073159635,East,Medium,598,Bank 598,South,0.57,9223.78,USD,2024-04-27,Brendanberg,True,True,1.5104880804676304,3,8439.966666666667,9480.34,6615.78,True
4,760,Kevin Poole,joshuaevans@pitts.com,706-152-3334x773,West,Low,34,Bank 34,North,0.64,3063.09,USD,2024-05-31,Lake Davidville,False,True,-0.660563736069451,3,3863.403333333333,6915.24,1611.88,False
5,175,Anthony Gonzales,alvarezcheryl@bailey.com,897.398.0669x289,South,Low,562,Bank 562,East,0.81,587.11,USD,2024-09-01,East Katherine,False,True,-1.5331089991340563,3,2710.7233333333334,4553.08,587.11,False
6,252,Sarah Odom,zandrews@hotmail.com,+1-209-288-6101x1602,West,Medium,740,Bank 740,North,0.82,6815.88,USD,2024-04-15,Valerieton,True,True,0.6619344819194745,4,4382.2225,6815.88,2115.49,True
7,743,Rachel Johnson,alyssaking@austin-long.biz,001-513-459-0135x9778,South,Medium,95,Bank 95,East,0.62,5402.65,USD,2024-03-12,North Taylorton,False,True,0.16390657292150507,1,5402.65,5402.65,5402.65,False
8,884,Jason Moore,alyssa09@gomez.com,985-015-6256x237,West,Low,779,Bank 779,South,0.75,878.54,USD,2024-10-12,Williamsview,False,True,-1.4304079005731154,1,878.54,878.54,878.54,False
9,54,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395,South,High,268,Bank 268,South,0.65,6794.4,USD,2024-08-04,Smithbury,False,True,0.6543648439374924,2,6731.735,6794.4,6669.07,True
10,715,Melissa Murray,jenniferroberts@gmail.com,+1-086-269-9513x512,West,Low,1002,Bank 1002,West,0.79,1055.99,USD,2024-03-28,Paulchester,True,True,-1.3678738102610717,3,4707.13,8229.96,1055.99,False
11,339,James Hunter,jacksoneric@hotmail.com,001-511-729-3448x1029,North,Medium,902,Bank 902,West,0.76,6276.0,USD,2024-08-29,Freemanview,False,True,0.4716786088416148,1,6276.0,6276.0,6276.0,True
12,710,Dr. Jason Ortega,melendezjanet@yahoo.com,341.362.5690x9464,South,High,567,Bank 567,East,0.98,610.86,USD,2024-03-21,Hannatown,False,True,-1.524739404065524,2,2232.6349999999998,3854.41,610.86,False
13,346,John Stephens,markfreeman@hotmail.com,695.796.9525x8364,West,High,898,Bank 898,North,0.72,3929.07,USD,2024-02-06,Joshuamouth,False,True,-0.355388917650608,1,3929.07,3929.07,3929.07,False
14,315,James Garrett,perezkevin@brown-nelson.com,(403)793-9962x42141,East,Low,510,Bank 510,West,0.67,8734.12,USD,2024-04-17,East Dianatown,True,True,1.337929936414684,3,8090.543333333334,8851.2,6686.31,True
